18,0.004502,5.163854,3366
19,0.004628,5.128638,3553
epoch,d_loss,g_loss,global_step
1,1.419991,1.604639,250
20,0.003703,5.113210,3740
21,0.004068,5.084664,3927
2,1.383418,1.588161,500
22,0.004386,5.038640,4114
23,0.003907,5.005788,4301
3,1.364839,1.624256,750
24,0.003674,4.973384,4488
25,0.004327,4.942694,4675
4,1.347497,1.665250,1000
26,0.003657,4.901242,4862
27,0.003547,4.880011,5049
5,1.339306,1.638196,1250
28,0.004011,4.838927,5236
29,0.002674,4.791230,5423
6,1.307256,1.688227,1500
30,0.002505,4.753534,5610
7,1.262209,1.756999,1750
31,0.002898,4.727018,5797
32,0.002999,4.724377,5984
8,1.198597,1.888341,2000
33,0.003053,4.668773,6171
34,0.002386,4.638942,6358
9,1.082081,2.162681,2250
35,0.003186,4.589112,6545
36,0.001802,4.563671,6732
10,1.005010,2.290835,2500
37,0.002096,4.533721,6919
38,0.002276,4.516414,7106
11,0.922668,2.467474,2750
39,0.002324,4.497814,7293
40,0.002766,4.462523,7480
12,0.867994,2.666048,3000
13,0.820898,2.818824,3250
14,0.763461,2.959947,3500
15,0.744689,2.977517,3750
16,0.708590,3.156581,4000
17,0.691892,3.254318,4250
18,0.676972,3.387763,4500
19,0.654663,3.403004,4750
20,0.629290,3.589007,5000
21,0.600343,3.728392,5250
22,0.563861,3.916741,5500
23,0.588867,3.946956,5750
24,0.575821,4.061748,6000
25,0.565206,4.162330,6250
26,0.579324,4.288780,6500
27,0.566301,4.344122,6750
28,0.598315,4.428255,7000
29,0.610038,4.305973,7250
30,0.627195,4.194014,7500
31,0.693646,4.133349,7750
32,0.751718,3.860325,8000
33,0.720132,3.963786,8250
34,0.726204,3.903219,8500
35,0.715468,3.879240,8750
